Date, State, County, Cases
20200330, Illinois, Cook, 2
20200330, Illinois, Lake, 241
20200330, Illinois, DuPage, 202
20200330, Illinois, Will, 127
20200330, Illinois, Kane, 90
20200330, Illinois, McHenry, 47
20200330, Illinois, Kankakee, 27
20200330, Illinois, St. Clair, 18
20200330, Illinois, Champaign, 15
20200330, Illinois, Kendall, 11
20200330, Illinois, Madison, 10
20200330, Illinois, McLean, 10
20200330, Illinois, WInnebago, 9
20200330, Illinois, Sangamon, 8
20200330, Illinois, Unassigned, 8
20200330, Illinois, Peoria, 7
20200330, Illinois, Clinton, 5
20200330, Illinois, DeKalb, 4
20200330, Illinois, Rock Island, 4
20200330, Illinois, LaSalle, 3
20200330, Illinois, Monroe, 3
20200330, Illinois, Morgan, 3
20200330, Illinois, Tazewell, 3
20200330, Illinois, Woodford, 3
20200330, Illinois, Grundy, 2
20200330, Illinois, Henry, 2
20200330, Illinois, Iroquois, 2
20200330, Illinois, Jackson, 2
20200330, Illinois, Livingston, 2
20200330, Illinois, Stephenson, 2
20200330, Illinois, Whiteside, 2
20200330, Illinois, Adams, 1
20200330, Illinois, Bureau, 1
20200330, Illinois, Caroll, 1
20200330, Illinois, Christian, 1
20200330, Illinois, Cumberland, 1
20200330, Illinois, Douglas, 1
20200330, Illinois, Fayette, 1
20200330, Illinois, Franklin, 1
20200330, Illinois, Jo Daviess, 1
20200330, Illinois, Macon, 1
20200330, Illinois, Marshall, 1
20200330, Illinois, Washington, 1
20200330, Illinois, WIlliamson, 1
20200330, New Jersey, Bergen, 2
20200330, New Jersey, Essex, 1
20200330, New Jersey, Hudson, 974
20200330, New Jersey, Middlesex, 938
20200330, New Jersey, Union, 896
20200330, New Jersey, Monmouth, 870
20200330, New Jersey, Passaic, 831
20200330, New Jersey, Ocean, 759
20200330, New Jersey, Morris, 566
20200330, New Jersey, Somerset, 295
20200330, New Jersey, Mercer, 202
20200330, New Jersey, Camden, 163
20200330, New Jersey, Burlington, 142
20200330, New Jersey, Sussex, 93
20200330, New Jersey, Gloucester, 72
20200330, New Jersey, Hunterdon, 66
20200330, New Jersey, Warren, 56
20200330, New Jersey, Atlantic, 24
20200330, New Jersey, Cumberland, 11
20200330, New Jersey, Cape May, 9
20200330, New Jersey, Salem, 3
20200330, Idaho, Ada County, 113
20200330, Idaho, Blaine County, 115
20200330, Idaho, Teton County, 2
20200330, Idaho, Twins Falls County, 3
20200330, Idaho, Madison County, 2
20200330, Idaho, Kootenai County, 13
20200330, Idaho, Canyon County, 40
20200330, Idaho, Bingham County, 1
20200330, Idaho, Valley County, 1
20200330, Idaho, Cassia County, 1
20200330, Idaho, Bannock County, 3
20200330, Idaho, Idaho County, 1
20200330, Idaho, Nez Perce County, 4
20200330, Idaho, Payette County, 1
20200330, Idaho, Fremont County, 1
20200330, Idaho, Jefferson County, 2
20200330, Idaho, Custer County, 1
20200330, Idaho, Lincoln County, 1
20200330, Idaho, Bonneville County, 1
20200330, Idaho, Gem County, 3
20200330, Idaho, Owyhee County, 1
20200330, Hawaii, O'ahu and other small islands in Honolulu County, 116
20200330, Hawaii, Maui, 20
20200330, Hawaii, Hawai'i, 12
20200330, Hawaii, Kauai, 12
20200330, Hawaii, Unknown or Hawaii residents diagnosed out-of-state, 15
20200330, North Dakota, Burleigh, 25
20200330, North Dakota, Cass, 11
20200330, North Dakota, Dunn, 1
20200330, North Dakota, Foster, 1
20200330, North Dakota, McHenry, 1
20200330, North Dakota, McIntosh, 1
20200330, North Dakota, Morton, 11
20200330, North Dakota, Pierce, 2
20200330, North Dakota, Ramsey, 3
20200330, North Dakota, Start, 7
20200330, North Dakota, Walsh, 1
20200330, North Dakota, Ward, 4
20200330, Oklahoma, Adair, 3
20200330, Oklahoma, Bryan, 1
20200330, Oklahoma, Caddo, 1
20200330, Oklahoma, Canadian, 11
20200330, Oklahoma, Carter, 1
20200330, Oklahoma, Cherokee, 1
20200330, Oklahoma, Chocotaw, 1
20200330, Oklahoma, Cleveland, 39
20200330, Oklahoma, Comanche, 6
20200330, Oklahoma, Craig, 1
20200330, Oklahoma, Creek, 14
20200330, Oklahoma, Custer, 3
20200330, Oklahoma, Delaware, 2
20200330, Oklahoma, Garvin, 2
20200330, Oklahoma, Grady, 2
20200330, Oklahoma, Jackson, 1
20200330, Oklahoma, Kay, 17
20200330, Oklahoma, Latimer, 1
20200330, Oklahoma, Lincoln, 3
20200330, Oklahoma, Logan, 3
20200330, Oklahoma, Mayes, 2
20200330, Oklahoma, McClain, 2
20200330, Oklahoma, Muskogee, 5
20200330, Oklahoma, Noble, 3
20200330, Oklahoma, Oklahoma, 94
20200330, Oklahoma, Okmulgee, 2
20200330, Oklahoma, Osage, 5
20200330, Oklahoma, Ottawa, 1
20200330, Oklahoma, Pawnee, 14
20200330, Oklahoma, Payne, 7
20200330, Oklahoma, Pittsburgh, 2
20200330, Oklahoma, Pontotoc, 2
20200330, Oklahoma, Pottawatomie, 2
20200330, Oklahoma, Sequoyah, 1
20200330, Oklahoma, Stephens, 1
20200330, Oklahoma, Tulsa, 49
20200330, Oklahoma, Wagoner, 8
20200330, Oklahoma, Washington, 9
20200330, New Hampshire, Rockingham, 100
20200330, New Hampshire, Hillsborough, 69
20200330, New Hampshire, Grafton, 29
20200330, New Hampshire, Merrimack, 18
20200330, New Hampshire, Strafford, 17
20200330, New Hampshire, Carroll, 10
20200330, New Hampshire, Belknap, 9
20200330, New Hampshire, Cheshire, 3
20200330, New Hampshire, Sullivan, 3
20200330, Montana, Gallatin, 67
20200330, Montana, Yellowstone, 26
20200330, Montana, Missoula, 12
20200330, Montana, Silver Bow, 9
20200330, Montana, Flathead, 9
20200330, Montana, Cascade, 7
20200330, Montana, Lewis and Clark, 11
20200330, Montana, Broadwater, 3
20200330, Montana, Toole, 6
20200330, Montana, Madison, 4
20200330, Montana, Jefferson, 2
20200330, Montana, Roosevelt, 1
20200330, Montana, Park, 2
20200330, Montana, Deer Lodge, 2
20200330, Montana, Meagher, 1
20200330, Montana, Ravalli, 1
20200330, Montana, Hill, 1
20200330, Montana, Lincoln, 4
20200330, Montana, Lake, 3
20200330, Utah, March, 29
20200330, Texas, Harris County, 445
20200330, Texas, Dallas County, 439
20200330, Texas, Travis County, 179
20200330, Texas, Denton County, 148
20200330, Texas, Bexar County, 140
20200330, Texas, Tarrant County, 139
20200330, Texas, Collin County, 128
20200330, Texas, Fort Bend County, 101
20200330, Texas, Montgomery County, 64
20200330, Texas, Brazoria County, 61
20200330, Texas, Galveston County, 49
20200330, Texas, Lubbock County, 41
20200330, Texas, Brazos County, 40
20200330, Texas, Williamson County, 37
20200330, Texas, McLennan County, 36
20200330, Texas, El Paso County, 35
20200330, Texas, Smith County, 30
20200330, Texas, Bell County, 28
20200330, Texas, Hidalgo County, 27
20200330, Texas, Wichita County, 26
20200330, Texas, Webb County, 25
20200330, Texas, Nueces County, 21
20200330, Texas, Cameron County, 20
20200330, Texas, Jefferson County, 16
20200330, Texas, Ellis County, 13
20200330, Texas, Hays County, 13
20200330, Texas, Matagorda County, 12
20200330, Texas, Midland County, 11
20200330, Texas, Guadalupe County, 10
20200330, Texas, Comal County, 9
20200330, Texas, Hardin County, 9
20200330, Texas, Castro County, 8
20200330, Texas, Johnson County, 8
20200330, Texas, Hockley County, 7
20200330, Texas, Kendall County, 7
20200330, Texas, Taylor County, 7
20200330, Texas, Wharton County, 6
20200330, Texas, Bastrop County, 5
20200330, Texas, Val Verde County, 5
20200330, Texas, Washington County, 5
20200330, Texas, Gregg County, 4
20200330, Texas, Parker County, 4
20200330, Texas, Potter County, 4
20200330, Texas, Rockwall County, 4
20200330, Texas, Angelina County, 3
20200330, Texas, Bowie County, 3
20200330, Texas, Brown County, 3
20200330, Texas, Calhoun County, 3
20200330, Texas, Chambers County, 3
20200330, Texas, De Witt County, 3
20200330, Texas, Eastland County, 3
20200330, Texas, Grayson County, 3
20200330, Texas, Lamar County, 3
20200330, Texas, Medina County, 3
20200330, Texas, Randall County, 3
20200330, Texas, Rusk County, 3
20200330, Texas, Terry County, 3
20200330, Texas, Tom Green County, 3
20200330, Texas, Victoria County, 3
20200330, Texas, Walker County, 3
20200330, Texas, Waller County, 3
20200330, Texas, Atascosa County, 2
20200330, Texas, Austin County, 2
20200330, Texas, Cass County, 2
20200330, Texas, Deaf Smith County, 2
20200330, Texas, Grimes County, 2
20200330, Texas, Hood County, 2
20200330, Texas, Karnes County, 2
20200330, Texas, Kaufman County, 2
20200330, Texas, Liberty County, 2
20200330, Texas, Llano County, 2
20200330, Texas, Milam County, 2
20200330, Texas, Nacogdoches County, 2
20200330, Texas, Oldham County, 2
20200330, Texas, Robertson County, 2
20200330, Texas, Starr County, 2
20200330, Texas, Uvalde County, 2
20200330, Texas, Willacy County, 2
20200330, Texas, Wilson County, 2
20200330, Texas, Blanco County, 1
20200330, Texas, Burleson County, 1
20200330, Texas, Burnet County, 1
20200330, Texas, Caldwell County, 1
20200330, Texas, Cherokee County, 1
20200330, Texas, Coryell County, 1
20200330, Texas, Crane County, 1
20200330, Texas, Dawson County, 1
20200330, Texas, Ector County, 1
20200330, Texas, Erath County, 1
20200330, Texas, Falls County, 1
20200330, Texas, Fannin County, 1
20200330, Texas, Fayette County, 1
20200330, Texas, Franklin County, 1
20200330, Texas, Gaines County, 1
20200330, Texas, Hale County, 1
20200330, Texas, Harrison County, 1
20200330, Texas, Hopkins County, 1
20200330, Texas, Hunt County, 1
20200330, Texas, Jackson County, 1
20200330, Texas, Kleberg County, 1
20200330, Texas, Lamb County, 1
20200330, Texas, Lavaca County, 1
20200330, Texas, Limestone County, 1
20200330, Texas, Lynn County, 1
20200330, Texas, Martin County, 1
20200330, Texas, Maverick County, 1
20200330, Texas, Montague County, 1
20200330, Texas, Morris County, 1
20200330, Texas, Navarro County, 1
20200330, Texas, Orange County, 1
20200330, Texas, Polk County, 1
20200330, Texas, San Jacinto County, 1
20200330, Texas, San Patricio County, 1
20200330, Texas, Shelby County, 1
20200330, Texas, Swisher County, 1
20200330, Texas, Upshur County, 1
20200330, Texas, Van Zandt County, 1
20200330, Texas, Young County, 1
20200330, Colorado, Adams, 110
20200330, Colorado, Alamosa, 1
20200330, Colorado, Arapahoe, 241
20200330, Colorado, Baca, 1
20200330, Colorado, Boulder, 90
20200330, Colorado, Broomfield, 17
20200330, Colorado, Chaffee, 15
20200330, Colorado, Clear Creek, 3
20200330, Colorado, Costilla, 1
20200330, Colorado, Crowley, 1
20200330, Colorado, Delta, 1
20200330, Colorado, Denver, 408
20200330, Colorado, Douglas, 102
20200330, Colorado, Eagle, 187
20200330, Colorado, El Paso, 214
20200330, Colorado, Elbert, 3
20200330, Colorado, Fremont, 1
20200330, Colorado, Garfield, 25
20200330, Colorado, Grand, 2
20200330, Colorado, Gunnison, 79
20200330, Colorado, Hinsdale, 1
20200330, Colorado, Huerfano, 1
20200330, Colorado, Jefferson, 213
20200330, Colorado, Kit Carson, 1
20200330, Colorado, La Plata, 21
20200330, Colorado, Larimer, 84
20200330, Colorado, Lincoln, 1
20200330, Colorado, Logan, 5
20200330, Colorado, Mesa, 11
20200330, Colorado, Mineral, 1
20200330, Colorado, Moffat, 2
20200330, Colorado, Montezuma, 1
20200330, Colorado, Montrose, 8
20200330, Colorado, Morgan, 5
20200330, Colorado, Otero, 3
20200330, Colorado, Park, 3
20200330, Colorado, Pitkin, 27
20200330, Colorado, Pueblo, 10
20200330, Colorado, Rio Grande, 3
20200330, Colorado, Routt, 16
20200330, Colorado, San Miguel, 1
20200330, Colorado, Summit, 11
20200330, Colorado, Teller, 7
20200330, Colorado, Washington, 1
20200330, Colorado, Weld, 180
20200330, Colorado, Yuma, 2
20200330, Colorado, Unknown, 186
20200330, Oregon, Benton, 8
20200330, Oregon, Clackamas, 39
20200330, Oregon, Clatsop, 3
20200330, Oregon, Columbia, 1
20200330, Oregon, Deschutes, 23
20200330, Oregon, Douglas, 4
20200330, Oregon, Grant, 1
20200330, Oregon, Hood River, 2
20200330, Oregon, Jackson, 19
20200330, Oregon, Josephine, 6
20200330, Oregon, Klamath, 4
20200330, Oregon, Lane, 10
20200330, Oregon, Lincoln, 1
20200330, Oregon, Linn, 36
20200330, Oregon, Marion, 109
20200330, Oregon, Morrow, 1
20200330, Oregon, Multnomah, 91
20200330, Oregon, Polk, 13
20200330, Oregon, Umatilla, 4
20200330, Oregon, Union, 1
20200330, Oregon, Wasco, 3
20200330, Oregon, Washington, 154
20200330, Oregon, Yamhill, 13
20200330, Florida, Miami-Dade , 1
20200330, Florida, Broward, 838
20200330, Florida, Palm Beach, 333
20200330, Florida, Hillsborough, 218
20200330, Florida, Duval, 125
20200330, Florida, Orange , 246
20200330, Florida, Pinellas, 113
20200330, Florida, Collier, 95
20200330, Florida, Alachua, 71
20200330, Florida, Lee, 124
20200330, Florida, Osceola, 83
20200330, Florida, Sarasota, 50
20200330, Florida, Seminole, 76
20200330, Florida, St. Johns, 50
20200330, Florida, Volusia, 47
20200330, Florida, Manatee, 33
20200330, Florida, Pasco, 34
20200330, Florida, Lake, 38
20200330, Florida, Okaloosa, 31
20200330, Florida, Polk, 39
20200330, Florida, Indian River, 17
20200330, Florida, Clay, 30
20200330, Florida, Escambia, 30
20200330, Florida, Sumter, 43
20200330, Florida, Walton, 15
20200330, Florida, Brevard, 28
20200330, Florida, Citrus, 15
20200330, Florida, Leon, 18
20200330, Florida, St. Lucie, 23
20200330, Florida, Hernando, 14
20200330, Florida, Baker, 7
20200330, Florida, Flagler, 13
